filename,chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
1479_227_010_30s,0.27568397,0.09338211,2337.417576522276,2139.524338715139,4575.164001275881,0.0621678024622678,-281.5439,125.516,-30.967974,36.894035,8.602515,-2.4939525,11.592898,-15.570031,-8.949905,-4.1147075,-11.103273,2.6505842,8.296625,0.28698143,5.5214934,-1.7638958,-9.580616,-1.3497242,-4.143534,6.189321,2
1480_227_020_30s,0.27743182,0.097051695,2362.55854574536,2122.8098607593115,4546.097510370308,0.06316212751547988,-280.31256,124.85134,-34.01547,35.324913,6.6765523,-1.8400795,15.313396,-12.014499,-8.170571,-5.4134965,-11.143747,3.7752337,8.4951105,-1.2042805,4.5860567,0.14324692,-5.5869417,2.980152,-1.7870854,5.0785637,2
1481_227_030_30s,0.2936194,0.09612671,2343.698805501449,2129.1490191070166,4525.422635388448,0.061849021321110684,-284.83502,122.54324,-30.188343,37.957417,10.984263,2.3736844,18.113375,-7.827869,-5.268925,-5.283752,-11.995043,3.3712113,9.922214,-0.47124168,2.3888326,-1.865579,-5.464074,4.365893,-0.43600842,4.9285064,2
1482_227_040_30s,0.35097495,0.03262132,2664.500255632517,2426.310346020069,5442.558756258465,0.061285910591621515,-345.76743,112.02368,-27.981678,74.07411,22.642494,-0.051107023,14.9702425,-10.033154,2.684364,3.4282453,-9.093488,1.9485822,11.650305,6.2501493,9.733735,-0.7119734,-6.4706864,6.920037,-2.3181813,2.0024076,2
1483_227_050_30s,0.2977826,0.10346397,2312.0251946144035,2190.9178424952675,4563.964069000339,0.05854764294698142,-278.3613,117.94945,-21.348309,49.543243,15.407038,-2.4481685,9.336679,-15.93432,-6.166951,0.91575617,-7.608932,2.052919,5.352822,-2.136472,3.9867823,-1.6271598,-5.921277,4.510091,-0.26736307,5.8738046,2
1484_227_060_30s,0.2683504,0.13716412,2203.5808219348974,2088.130865050272,4224.099457448481,0.05941233915441176,-250.38177,120.20107,-23.05926,40.23173,14.887938,-0.8657661,7.9218516,-19.191454,-10.198153,0.40278402,-5.9481606,2.6134562,3.1757445,-5.409378,1.9100584,-1.1429704,-5.514693,2.2909195,-1.2323976,7.112102,2
1485_227_070_30s,0.27650994,0.14136742,2237.7640505249083,2035.933403779524,4161.841500580495,0.06588036504692338,-247.14029,133.38135,-36.701252,34.37827,9.0547285,0.6343295,12.465071,-21.081163,-11.162584,0.7657327,-4.476958,4.3546696,0.9737573,-9.201671,1.3174114,-0.70634764,-5.1101723,1.6936013,-4.4838586,6.077493,2
1486_227_080_30s,0.36373556,0.06090375,2664.3378262926876,2328.6702047922226,5224.18507673423,0.07156381518479102,-302.03662,108.36136,-25.699652,52.95644,18.221571,-0.030890828,10.222694,-16.537594,-3.8415916,7.6562667,-0.6583581,4.1634254,5.2413287,-1.7477449,4.4289126,-1.6429323,-7.392546,0.7003554,-6.852786,-0.15581897,2
1487_227_090_30s,0.3648117,0.040440463,2710.955182119463,2383.762892931027,5399.625682535555,0.06959198281491873,-318.37344,100.69102,-18.387875,59.020046,21.92895,-0.3538086,9.255636,-15.385065,-4.3742313,6.503436,-2.053076,3.4032629,8.35845,2.2651896,6.2879367,-0.67929494,-6.848648,2.0169117,-5.595012,-1.2466303,2
1488_227_100_30s,0.3118315,0.10726904,2310.7820590464485,2115.6182163293515,4386.365142916748,0.062096374322755415,-278.1416,123.29245,-26.194822,38.760662,8.512227,-4.187809,7.405612,-19.799532,-11.823167,-4.657395,-10.737731,1.0090023,5.913767,-1.24971,4.2592726,-1.7117532,-7.3874097,1.5734665,-3.2571971,3.116804,2
